pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country,
G,13,1,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,1st word coming into head; about different parts of words/functions of words,,3,India,
G,14,2,bank,deposit,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,"signaller 14 got quickly that words rather similar and thus a fully discrim. Attribute is a good cue, such as ""crescent"" -""finger nail"" etc.",,3,UK,
G,13,3,loaf,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,14,4,yolk,egg,,,nog,,,center,na,na,yolk,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,"#""center"" based on previous word..",3,,
G,13,5,occupation,job,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,14,6,cod,fish,,,salmon,,,plant,na,na,sushi,na,na,finger,na,na,fin,na,na,chips,na,na,cod,na,na,na,na,,,,,non-face,English,,,3,,
G,13,7,steed ,horse,,,pony,,,female,na,na,mare,na,0.01,riding,na,na,steed,,,,,,,,,,,,,,,non-face,English,,"#sig. Didn't know what ""steed"" means so I wrote in the private chat",3,,
G,14,8,retina,eye,,,pupil,,,nerve,na,na,retina,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,"#answers sent as privat message to me, realized that sig. Could not see it for that trial",3,,
G,13,9,pepperoni,pizza,,,slice,,,round,na,na,pepperoni,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,"#""round"" based on previous words…",3,,
G,14,10,sill,ledge,,,sill,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,13,11,butcher,meat,,,steak,,,cutter,na,na,butcher,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,14,12,grater,"shredding; shredder:.01, na; same as shredding!",,,grater,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,13,13,acquaintance,friend,,,buddy,,,common,na,na,acquaintance,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,14,14,crescent,finger nail,,,crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,13,15,bulb,source,,,beacon,,,light,0.68,0.08,lamp,na,0.66,round (for rounded: FAS.01),na,0.03,bulb,0.03,na,,,,,,,,,,,,,non-face,English,,"#""round"" again based on previous words…",3,,
G,14,16,bouquet,assortment,,,bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,13,17,crossword,puzzle,,,jigsaw,,,words,0.04,0.01,riddle,,,newspaper,,,crossword,,,,,,,,,,,,,,,non-face,English,,"#sig.: said ""words"" as cue which is within ""words"" + said ""criss cross"" first, guesser couldn't hear it and then signaller said another cue word ",3,,
G,14,18,cob,corn,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
G,13,19,brewery,beer,,,lager,,,creating,na,na,brewery,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,"#sig. Wasn't sure about the word; ""creating"" again based on previous words",3,,
G,14,20,affection,fondness,,,attraction,,,herently,na,na,affection,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
H,15,1,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,UK/US?,
H,16,2,bank,robbery,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,word associations; which pictures comes into mind,#signaller also said wind,3,UK,
