"","target","cue","results_forward","results_backward"
"1071","Axt","Massenmörder",0.00343642611683849,NA
"1072","Axt","Blatt",0.00343642611683849,NA
"1073","Axt","Bau",0.00343642611683849,NA
"1074","Axt","Feuerholz",0.00343642611683849,NA
"1075","Axt","Kaminfeuer",0.00343642611683849,NA
"1076","Axt","Schneide",0.00343642611683849,NA
"1077","Axt","Muskeln",0.00343642611683849,NA
"1078","Axt","Waffe",0.00343642611683849,NA
"1079","Axt","zerschlagen",0.00343642611683849,NA
"1080","Axt","Säge",0.00343642611683849,NA
"1081","Axt","Klotz",0.00343642611683849,NA
"1082","Axt","Stiel",0.00343642611683849,NA
"1083","Axt","zerteilen",0.00343642611683849,NA
"1084","Axt","Kraft",0.00343642611683849,NA
"1085","Axt","hauen",0.00343642611683849,NA
"1086","Axt","Gimli",0.00343642611683849,NA
"1087","Axt","Hütte",0.00343642611683849,NA
"1088","Axt","Stahl",0.00343642611683849,NA
"1089","Axt","kräftig",0.00343642611683849,NA
"1090","Axt","anstrengend",0.00343642611683849,NA
"1091","Axt","Bauen",0.00343642611683849,NA
"1092","Axt","Hammer",0.00343642611683849,0.00337837837837838
"1093","Axt","tot",0.00343642611683849,NA
"1094","Axt","heizen",0.00343642611683849,NA
"1095","Axt","Stamm",0.00343642611683849,NA
"1096","Axt","Land",0.00343642611683849,NA
"1097","Axt","Ofen",0.00343642611683849,NA
"1098","Axt","Hacken",0.00343642611683849,NA
"1099","Axt","Grill",0.00343642611683849,NA
"1100","Axt","Kanada",0.00343642611683849,NA
"1101","Axt","Baumfäller",0.00343642611683849,NA
"1102","Axt","Waldarbeiter",0.00343642611683849,NA
"1103","Axt","kleinschlagen",0.00343642611683849,NA
"1104","Axt","Verletzung",0.00343642611683849,NA
"1105","Axt","Kopf",0.00343642611683849,NA
"1106","Axt","Barbar",0.00343642611683849,NA
"1107","Axt","Schweiß",0.00343642611683849,NA
"4147","Butter","Brot",0.202702702702703,0.104377104377104
"4148","Butter","Fett",0.0675675675675676,NA
"4149","Butter","gelb",0.0574324324324324,NA
"4150","Butter","Milch",0.0540540540540541,NA
"4151","Butter","streichen",0.0439189189189189,NA
"4152","Butter","Kühlschrank",0.0405405405405405,NA
"4153","Butter","weich",0.0405405405405405,NA
"4154","Butter","Margarine",0.0405405405405405,NA
"4155","Butter","Frühstück",0.0371621621621622,NA
"4156","Butter","Messer",0.027027027027027,0.0342465753424658
"4157","Butter","backen",0.0236486486486486,NA
"4158","Butter","Marmelade",0.0202702702702703,NA
"4159","Butter","Käse",0.0202702702702703,0.00342465753424658
"4160","Butter","Kuh",0.0168918918918919,0.0068259385665529
"4161","Butter","fettig",0.0168918918918919,NA
"4162","Butter","Kuchen",0.0168918918918919,0.00336700336700337
"4163","Butter","fett",0.0168918918918919,NA
"4164","Butter","hart",0.0168918918918919,NA
"4165","Butter","Brötchen",0.0135135135135135,NA
"4166","Butter","Wurst",0.0135135135135135,0.00689655172413793
"4167","Butter","lecker",0.0135135135135135,NA
"4168","Butter","schmieren",0.0101351351351351,NA
"4169","Butter","essen",0.0101351351351351,NA
"4170","Butter","Brotaufstrich",0.0101351351351351,NA
"4171","Butter","kochen",0.0101351351351351,NA
"4172","Butter","Dose",0.00675675675675676,NA
"4173","Butter","schmelzen",0.00675675675675676,NA
"4174","Butter","braten",0.00675675675675676,NA
"4175","Butter","ungesund",0.00675675675675676,NA
